Identifiant,Prénom Nom,2023-06-30',2023-06-09',2023-05-26',2023-04-07',2023-03-17',2023-02-10',2023-01-20',2022-12-16',2022-11-18',2022-10-21',2022-09-23',2022-07-08',2022-06-17,2022-05-19,2022-04-29,2022-04-01,2022-03-04,2022-01-27,2021-12-10,2021-11-19',2021-10-22',2021-09-24',2021-07-08,2021-06-17,2021-05-28,2021-04-23',2021-03-25',2021-02-19',2021-01-22',2020-12-11',2020-11-28',2020-11-13',2020-10-15,2020-09-17,2020-07-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=plilbb9S2uk&list=PLiCvvwK1mPGWWwFwZCZdCjN5TxwQyGHyx&index=2&pp=iAQB,,,,,,,,
1,Stéphanie STIERNON,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE
2,Frédéric CHÉREAU,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE
3,Agnès DUPUIS,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,ABS:4,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE
4,Mohamed KHÉRAKI,PRE,ABS:3,PRE,PRE,PRE,PRE,PRE,ABS:2,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,ABS:2,PRE,PRE,PRE,PRE,ABS,PRE,PRE,PRE,PRE,-PRE,PRE,PRE,PRE
5,Hocine MAZY,PRE,PRE,PRE,PRE,ABS:17,PRE,PRE,PRE,PRE,ABS:21,PRE,PRE,ABS:17,-PRE:17,PRE,ABS:6,PRE,PRE,PRE,PRE,ABS:6,PRE,PRE,ABS:17,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE
6,Auriane DELBARRE,PRE,PRE,PRE,ABS:5,ABS:21,PRE,PRE,ABS:5,-PRE,PRE,PRE,PRE,ABS:2,ABS:21,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,ABS:41,PRE,PRE,PRE,PRE,PRE,PRE,PRE
7,Jean-Michel LEROY,ABS:9,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,ABS:9,PRE,PRE,ABS:9,PRE,ABS:9,PRE,PRE,ABS:9,PRE,PRE,PRE,ABS:9,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE
8,Jean Christophe LECLERCQ,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,ABS:16,PRE,ABS:33,PRE,PRE,ABS:12,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE
9,Yvon SIPIETER,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE
